sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
300,7,ode,focei,lbfgsb3c,100,51,95,97,49,51,0.51,0.515789473684211,0.525773195876289
300,8,linCmt,focei,lbfgsb3c,100,77,99,99,77,77,0.77,0.777777777777778,0.777777777777778
300,8,ode,focei,lbfgsb3c,100,80,99,100,80,80,0.8,0.808080808080808,0.8
300,9,linCmt,focei,lbfgsb3c,100,69,99,99,69,69,0.69,0.696969696969697,0.696969696969697
300,9,ode,focei,lbfgsb3c,100,57,98,100,57,57,0.57,0.581632653061224,0.57
300,10,linCmt,focei,lbfgsb3c,100,85,100,100,85,85,0.85,0.85,0.85
300,10,ode,focei,lbfgsb3c,100,82,98,100,80,82,0.82,0.816326530612245,0.82
300,11,linCmt,focei,lbfgsb3c,100,72,99,99,72,72,0.72,0.727272727272727,0.727272727272727
300,11,ode,focei,lbfgsb3c,100,65,98,100,64,65,0.65,0.653061224489796,0.65
300,12,linCmt,focei,lbfgsb3c,100,84,100,100,84,84,0.84,0.84,0.84
300,12,ode,focei,lbfgsb3c,100,77,98,100,77,77,0.77,0.785714285714286,0.77
300,13,linCmt,focei,lbfgsb3c,100,37,94,95,37,37,0.37,0.393617021276596,0.38947368421052603
300,13,ode,focei,lbfgsb3c,100,51,92,95,51,51,0.51,0.554347826086957,0.536842105263158
300,14,linCmt,focei,lbfgsb3c,100,72,98,99,72,72,0.72,0.73469387755102,0.727272727272727
300,14,ode,focei,lbfgsb3c,100,60,95,100,58,60,0.6,0.610526315789474,0.6
300,15,linCmt,focei,lbfgsb3c,100,43,97,98,43,43,0.43,0.443298969072165,0.438775510204082
300,15,ode,focei,lbfgsb3c,100,46,95,98,46,46,0.46,0.484210526315789,0.469387755102041
300,16,linCmt,focei,lbfgsb3c,100,63,95,96,63,63,0.63,0.663157894736842,0.65625
300,16,ode,focei,lbfgsb3c,100,53,90,98,48,53,0.53,0.533333333333333,0.540816326530612
