sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
300,10,linCmt,focei,bobyqa,2,83,0.83,2
300,10,ode,focei,bobyqa,1,100,1,2
300,10,ode,focei,bobyqa,2,79,0.79,2
300,11,linCmt,focei,bobyqa,1,97,0.97,2
300,11,linCmt,focei,bobyqa,2,57,0.57,2
300,11,ode,focei,bobyqa,1,92,0.92,2
300,11,ode,focei,bobyqa,2,48,0.48,2
300,12,linCmt,focei,bobyqa,1,100,1,3
300,12,linCmt,focei,bobyqa,2,95,0.95,3
300,12,linCmt,focei,bobyqa,3,68,0.68,3
300,12,ode,focei,bobyqa,1,100,1,3
300,12,ode,focei,bobyqa,2,91,0.91,3
300,12,ode,focei,bobyqa,3,56,0.56,3
300,13,linCmt,focei,bobyqa,1,98,0.98,2
300,13,linCmt,focei,bobyqa,2,56,0.56,2
300,13,ode,focei,bobyqa,1,97,0.97,2
300,13,ode,focei,bobyqa,2,58,0.58,2
300,14,linCmt,focei,bobyqa,1,100,1,3
300,14,linCmt,focei,bobyqa,2,96,0.96,3
300,14,linCmt,focei,bobyqa,3,58,0.58,3
300,14,ode,focei,bobyqa,1,100,1,3
300,14,ode,focei,bobyqa,2,95,0.95,3
300,14,ode,focei,bobyqa,3,53,0.53,3
300,15,linCmt,focei,bobyqa,1,97,0.97,3
300,15,linCmt,focei,bobyqa,2,82,0.82,3
300,15,linCmt,focei,bobyqa,3,35,0.35,3
300,15,ode,focei,bobyqa,1,100,1,3
300,15,ode,focei,bobyqa,2,78,0.78,3
300,15,ode,focei,bobyqa,3,43,0.43,3
300,16,linCmt,focei,bobyqa,1,100,1,4
300,16,linCmt,focei,bobyqa,2,100,1,4
300,16,linCmt,focei,bobyqa,3,86,0.86,4
300,16,linCmt,focei,bobyqa,4,49,0.49,4
300,16,ode,focei,bobyqa,1,100,1,4
300,16,ode,focei,bobyqa,2,98,0.98,4
300,16,ode,focei,bobyqa,3,90,0.9,4
300,16,ode,focei,bobyqa,4,50,0.5,4
