sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
40,2,advan4,nonmem_scm,focei,52,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,52,VC,CRCL,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,52,VC,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,53,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,54,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,55,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,56,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,57,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,58,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,59,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,60,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,60,VC,BW,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,61,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,62,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,63,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,64,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,65,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,66,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,67,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,67,VC,CRCL,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,67,CL,SEX,cat,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,68,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,69,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,70,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,70,VC,RACE,cat,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,71,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,72,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,73,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,74,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,75,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,76,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,77,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,78,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,79,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,80,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,81,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,82,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,83,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,83,CL,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,84,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,85,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,86,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,86,CL,RACE,cat,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,87,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,87,VC,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,88,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,89,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,90,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,91,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,92,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,93,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,94,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,94,VC,BMI,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,95,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,96,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,96,CL,CRCL,power,FALSE,TRUE,FP
40,2,advan4,nonmem_scm,focei,97,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,98,VC,SEX,cat,TRUE,TRUE,TP
40,2,advan4,nonmem_scm,focei,99,VC,SEX,cat,TRUE,FALSE,FN
40,2,advan4,nonmem_scm,focei,100,VC,SEX,cat,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,1,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,1,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,2,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,3,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,3,VC,RACE,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,3,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,4,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,5,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,5,CL,RACE,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,5,VC,BMI,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,6,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,6,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,7,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,8,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,9,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,9,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,10,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,10,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,11,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,11,CL,RACE,cat,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,11,VC,BW,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,12,VC,BW,power,TRUE,FALSE,FN
40,3,advan4,nonmem_scm,focei,12,VC,CRCL,exp,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,13,VC,BW,power,TRUE,TRUE,TP
40,3,advan4,nonmem_scm,focei,13,CL,CRCL,power,FALSE,TRUE,FP
40,3,advan4,nonmem_scm,focei,14,VC,BW,power,TRUE,FALSE,FN
