sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,2,linCmt,27,cl,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,28,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,29,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,29,cl,SEX,cat,FALSE,TRUE,FP
40,2,linCmt,29,vc,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,29,vc,BW,lin,FALSE,TRUE,FP
40,2,linCmt,29,cl,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,30,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,30,vc,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,31,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,31,cl,BW,power,FALSE,TRUE,FP
40,2,linCmt,32,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,33,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,33,vc,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,33,vc,BW,lin,FALSE,TRUE,FP
40,2,linCmt,33,cl,BMI,lin,FALSE,TRUE,FP
40,2,linCmt,34,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,35,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,35,cl,RACE,cat,FALSE,TRUE,FP
40,2,linCmt,36,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,37,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,37,cl,BMI,power,FALSE,TRUE,FP
40,2,linCmt,38,vc,SEX,cat,TRUE,FALSE,FN
40,2,linCmt,38,vc,BW,power,FALSE,TRUE,FP
40,2,linCmt,38,vc,BMI,power,FALSE,TRUE,FP
40,2,linCmt,38,cl,CrCL,power,FALSE,TRUE,FP
40,2,linCmt,39,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,39,cl,CrCL,lin,FALSE,TRUE,FP
40,2,linCmt,40,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,41,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,42,vc,SEX,cat,TRUE,TRUE,TP
40,2,linCmt,42,vc,RACE,cat,FALSE,TRUE,FP
