sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,10,linCmt,vc,BW,power,8,FALSE,8,1,0,0,8
40,10,linCmt,vc,CrCL,lin,6,FALSE,6,1,0,0,6
40,10,linCmt,vc,CrCL,power,6,FALSE,6,1,0,0,6
40,10,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,10,ode,cl,BW,power,100,TRUE,41,0.41,41,59,0
40,10,ode,vc,SEX,cat,100,TRUE,84,0.84,84,16,0
40,10,ode,cl,BMI,lin,5,FALSE,5,1,0,0,5
40,10,ode,cl,BMI,power,16,FALSE,16,1,0,0,16
40,10,ode,cl,BW,lin,31,FALSE,31,1,0,0,31
40,10,ode,cl,CrCL,lin,3,FALSE,3,1,0,0,3
40,10,ode,cl,CrCL,power,8,FALSE,8,1,0,0,8
40,10,ode,cl,RACE,cat,9,FALSE,9,1,0,0,9
40,10,ode,cl,SEX,cat,5,FALSE,5,1,0,0,5
40,10,ode,vc,BMI,lin,4,FALSE,4,1,0,0,4
40,10,ode,vc,BMI,power,5,FALSE,5,1,0,0,5
40,10,ode,vc,BW,lin,6,FALSE,6,1,0,0,6
40,10,ode,vc,BW,power,8,FALSE,8,1,0,0,8
40,10,ode,vc,CrCL,lin,6,FALSE,6,1,0,0,6
40,10,ode,vc,CrCL,power,5,FALSE,5,1,0,0,5
40,10,ode,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,11,linCmt,cl,BW,power,100,TRUE,47,0.47,47,53,0
40,11,linCmt,vc,BW,power,100,TRUE,50,0.5,50,50,0
40,11,linCmt,cl,BMI,lin,15,FALSE,15,1,0,0,15
40,11,linCmt,cl,BMI,power,19,FALSE,19,1,0,0,19
40,11,linCmt,cl,BW,lin,25,FALSE,25,1,0,0,25
40,11,linCmt,cl,CrCL,lin,6,FALSE,6,1,0,0,6
40,11,linCmt,cl,CrCL,power,2,FALSE,2,1,0,0,2
40,11,linCmt,cl,RACE,cat,8,FALSE,8,1,0,0,8
40,11,linCmt,cl,SEX,cat,15,FALSE,15,1,0,0,15
40,11,linCmt,vc,BMI,lin,6,FALSE,6,1,0,0,6
40,11,linCmt,vc,BMI,power,15,FALSE,15,1,0,0,15
