sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,2,ode,18,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,19,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,20,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,21,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,22,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,23,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,24,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,25,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,26,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,27,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,27,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,28,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,29,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,29,vc,BW,power,FALSE,TRUE,FP
80,2,ode,30,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,30,vc,BW,power,FALSE,TRUE,FP
80,2,ode,31,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,32,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,32,vc,RACE,cat,FALSE,TRUE,FP
80,2,ode,33,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,34,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,35,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,35,cl,BMI,power,FALSE,TRUE,FP
80,2,ode,35,cl,BW,power,FALSE,TRUE,FP
80,2,ode,35,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,36,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,37,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,38,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,39,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,39,vc,BMI,power,FALSE,TRUE,FP
80,2,ode,40,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,41,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,41,cl,BW,power,FALSE,TRUE,FP
80,2,ode,41,cl,BMI,power,FALSE,TRUE,FP
80,2,ode,42,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,43,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,44,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,44,cl,RACE,cat,FALSE,TRUE,FP
80,2,ode,45,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,46,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,47,vc,SEX,cat,TRUE,FALSE,FN
80,2,ode,48,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,49,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,49,vc,CrCL,power,FALSE,TRUE,FP
80,2,ode,50,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,50,cl,RACE,cat,FALSE,TRUE,FP
80,2,ode,51,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,52,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,53,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,54,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,55,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,56,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,56,vc,BMI,power,FALSE,TRUE,FP
80,2,ode,56,cl,CrCL,power,FALSE,TRUE,FP
80,2,ode,57,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,58,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,59,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,59,vc,CrCL,power,FALSE,TRUE,FP
80,2,ode,60,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,61,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,62,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,63,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,64,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,65,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,66,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,67,vc,SEX,cat,TRUE,FALSE,FN
80,2,ode,68,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,69,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,70,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,71,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,71,cl,BW,power,FALSE,TRUE,FP
80,2,ode,72,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,72,cl,BMI,power,FALSE,TRUE,FP
80,2,ode,73,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,74,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,75,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,76,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,77,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,78,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,79,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,80,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,81,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,82,vc,SEX,cat,TRUE,TRUE,TP
