sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,linCmt,vae,NA,80,ok,TRUE,TRUE,TRUE,-1511.7686351346233,7.554713374530935,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,63.507245779037476,
80,1,linCmt,vae,NA,81,ok,TRUE,TRUE,TRUE,-1500.3896699853722,8.210327792932148,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,66.10908222198486,
80,1,linCmt,vae,NA,82,ok,TRUE,TRUE,TRUE,-1506.8413327090009,4.670091854253735,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,51.063687562942505,
80,1,linCmt,vae,NA,83,ok,TRUE,TRUE,TRUE,-1515.5804291819445,8.03617734486894,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.5103645324707,
80,1,linCmt,vae,NA,84,ok,TRUE,TRUE,TRUE,-1571.0484891426422,5.007216947026101,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.51075744628906,
80,1,linCmt,vae,NA,85,ok,TRUE,TRUE,TRUE,-1488.2588984876581,5.219799194919573,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.799845695495605,
80,1,linCmt,vae,NA,86,ok,TRUE,TRUE,TRUE,-1481.5844664582762,5.617243468830467,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.63104772567749,
80,1,linCmt,vae,NA,87,ok,TRUE,TRUE,TRUE,-1541.0614835714312,2.692392525626992,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,52.448646783828735,
80,1,linCmt,vae,NA,88,ok,TRUE,TRUE,TRUE,-1520.5693365600403,6.975897183703181,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.17593312263489,
80,1,linCmt,vae,NA,89,ok,TRUE,TRUE,TRUE,-1516.7877472917435,7.914319506323043,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,51.46030235290527,
80,1,linCmt,vae,NA,90,ok,TRUE,TRUE,TRUE,-1501.5428139212222,9.018094259389558,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,53.107569456100464,
80,1,linCmt,vae,NA,91,ok,TRUE,TRUE,TRUE,-1487.888889100672,3.6921586053240283,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,49.787513971328735,
80,1,linCmt,vae,NA,92,ok,TRUE,TRUE,TRUE,-1491.1461991553908,5.4281986461578455,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,54.27973222732544,
80,1,linCmt,vae,NA,93,ok,TRUE,TRUE,TRUE,-1480.5880506277479,7.242533046548788,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,52.12334322929382,
80,1,linCmt,vae,NA,94,ok,TRUE,TRUE,TRUE,-1512.6304361913997,3.2487114236162364,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,52.317506313323975,
