sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,11,ode,vc,BMI,power,11,FALSE,11,1,0,0,11
80,11,ode,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,11,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,11,ode,vc,SEX,cat,6,FALSE,6,1,0,0,6
80,12,linCmt,cl,BW,power,100,TRUE,87,0.87,87,13,0
80,12,linCmt,vc,BW,power,100,TRUE,83,0.83,83,17,0
80,12,linCmt,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,12,linCmt,cl,BMI,power,16,FALSE,16,1,0,0,16
80,12,linCmt,cl,CrCL,power,5,FALSE,5,1,0,0,5
80,12,linCmt,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,12,linCmt,cl,SEX,cat,7,FALSE,7,1,0,0,7
80,12,linCmt,vc,BMI,power,17,FALSE,17,1,0,0,17
80,12,linCmt,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,12,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,12,ode,cl,BW,power,100,TRUE,87,0.87,87,13,0
80,12,ode,vc,BW,power,100,TRUE,83,0.83,83,17,0
80,12,ode,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,12,ode,cl,BMI,power,16,FALSE,16,1,0,0,16
80,12,ode,cl,CrCL,power,5,FALSE,5,1,0,0,5
80,12,ode,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,12,ode,cl,SEX,cat,7,FALSE,7,1,0,0,7
80,12,ode,vc,BMI,power,17,FALSE,17,1,0,0,17
80,12,ode,vc,CrCL,power,4,FALSE,4,1,0,0,4
80,12,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,13,linCmt,cl,BW,power,100,TRUE,86,0.86,86,14,0
80,13,linCmt,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,13,linCmt,cl,BMI,power,14,FALSE,14,1,0,0,14
80,13,linCmt,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,13,linCmt,cl,SEX,cat,6,FALSE,6,1,0,0,6
80,13,linCmt,vc,BMI,power,6,FALSE,6,1,0,0,6
80,13,linCmt,vc,BW,power,5,FALSE,5,1,0,0,5
80,13,linCmt,vc,CrCL,power,7,FALSE,7,1,0,0,7
80,13,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,13,linCmt,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,13,ode,cl,BW,power,100,TRUE,85,0.85,85,15,0
80,13,ode,cl,CrCL,power,100,TRUE,100,1,100,0,0
80,13,ode,cl,BMI,power,15,FALSE,15,1,0,0,15
80,13,ode,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,13,ode,cl,SEX,cat,6,FALSE,6,1,0,0,6
80,13,ode,vc,BMI,power,4,FALSE,4,1,0,0,4
80,13,ode,vc,BW,power,4,FALSE,4,1,0,0,4
80,13,ode,vc,CrCL,power,7,FALSE,7,1,0,0,7
80,13,ode,vc,RACE,cat,2,FALSE,2,1,0,0,2
