sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,2,ode,focei,bobyqa,32,vc,RACE,cat,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,33,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,34,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,35,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,35,cl,SEX,cat,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,36,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,37,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,38,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,39,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,39,vc,BMI,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,40,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,41,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,42,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,43,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,44,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,45,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,46,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,47,vc,SEX,cat,TRUE,FALSE,FN
80,2,ode,focei,bobyqa,48,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,49,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,50,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,51,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,52,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,53,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,54,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,55,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,56,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,57,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,58,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,59,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,59,vc,CrCL,power,FALSE,TRUE,FP
80,2,ode,focei,bobyqa,60,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,61,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,62,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,63,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,64,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,65,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,66,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,67,vc,SEX,cat,TRUE,FALSE,FN
80,2,ode,focei,bobyqa,68,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,69,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,70,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,71,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,72,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,73,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,74,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,75,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,76,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,77,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,78,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,79,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,80,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,81,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,82,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,83,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,84,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,85,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,86,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,87,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,88,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,89,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,90,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,91,vc,SEX,cat,TRUE,FALSE,FN
80,2,ode,focei,bobyqa,92,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,93,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,94,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,95,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,96,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,97,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,98,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,99,vc,SEX,cat,TRUE,TRUE,TP
80,2,ode,focei,bobyqa,100,vc,SEX,cat,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,1,vc,BW,power,TRUE,TRUE,TP
80,3,linCmt,focei,bobyqa,2,vc,BW,power,TRUE,TRUE,TP
